material_id,pretty_formula,band_gap
mp-1111219,K2NaYBr6,4.094200000000001
mp-1111491,K3FeF6,4.1584
mp-1111662,K2LiSbF6,4.1336
mp-1112120,Cs2RbScCl6,4.088
mp-1112129,Cs2RbBiCl6,4.1439
mp-1112145,Cs2NaNdBr6,4.1567
mp-1112146,Cs2NaPrBr6,4.1445
mp-1112309,CsK2ScCl6,4.1206000000000005
mp-1112513,Cs2RbSbF6,4.0755
mp-1112966,Cs3ScCl6,4.116099999999999
mp-1112979,Cs3BiCl6,4.1328
mp-1112997,Cs2NaAlCl6,4.128699999999999
mp-1113006,Cs2LiSbF6,4.1361
mp-1113402,CsRb2ScCl6,4.1402
mp-1113413,CsRb2BiF6,4.1451
mp-1114496,Rb3FeF6,4.1317
mp-1114619,Rb3BiCl6,4.146
mp-1114665,Rb3ScCl6,4.1083
mp-1147619,Li3YBr6,4.1434
mp-11607,Si3N4,4.0968
mp-1173861,Na3Mg4InSi8(O11F)2,4.095
mp-1176610,LiNi(PO3)3,4.1067
mp-1177101,Li5FeOF5,4.1165
mp-1178156,K2AsPCO7,4.1143
mp-1178457,CsLiSO4,4.1219
mp-1178523,BaLaCl5,4.1582
mp-1179353,Sr(H8O5)2,4.0931
mp-1183115,AcAlO3,4.1024
mp-1183864,CdSn2H12(OF)6,4.115
mp-1187025,SmAlO3,4.1152
mp-1188970,Cs2CdFe(CN)6,4.1578
mp-1192358,PrMoO4F,4.1265
mp-1192530,CsPPbO4,4.1136
mp-1192562,NdMoO4F,4.099600000000001
mp-1192905,KNaTe(HO)6,4.1052
mp-1193408,KInBP2HO9,4.1217999999999995
mp-1193607,CsCaH2N9O,4.1049999999999995
mp-1193866,YbPH5CO7,4.0786
mp-1194260,As2H6CO6,4.087899999999999
mp-1194629,CsSc(SeO3)2,4.1344
mp-1195014,GeC4(BrF5)2,4.1155
mp-1195039,Ba2Zn2TeP2O11,4.101
mp-1195057,K3Ba3Li2Al4B6O20F,4.0961
mp-1195090,CsY(SeO3)2,4.0998
mp-1195186,RbLa2C6N6ClO6,4.134600000000001
mp-1195275,RbH3CN2O,4.1476999999999995
mp-1195448,CsSb(SO4)2,4.0866
mp-1195606,K2Zn3(SeO3)4,4.1389000000000005
mp-1195757,Li2Sn(H5O4)2,4.1447
mp-1196152,YB3(H6N)4,4.0868
mp-1196392,LiBH5N,4.138
mp-1196739,K2SnH2OF6,4.1531
mp-1197768,Ba2LiAl(CN2)4,4.1281
mp-1198167,Na2H14CO10,4.1517
mp-1198182,CaH12S2O9,4.1318
mp-1198385,Bi2B8O15,4.086
mp-1199110,SiH9C3N2Cl3,4.0832
mp-1199436,Zn(H3C)2,4.1572
mp-1199536,SnMoH6(CO2)2,4.1048
mp-1200224,CsPSO2,4.075799999999999
mp-1200495,Cs2Cd2(MoO4)3,4.1415
mp-1200531,MnH44C12N8(ClO5)2,4.0859
mp-1200866,Na2TiSi4H4O13,4.1217
mp-1201090,Si5H42(C7N)2,4.0818
mp-1201545,K2LaCl5,4.1486
mp-1202034,Be3As2H10(NO5)2,4.0849
mp-1202098,K2Mg2(MoO4)3,4.1171
mp-1202890,K2B2Se3O10,4.1305
mp-1203079,NaLiB2(H5N)2,4.0876
mp-1203138,Sc3B5O12,4.089600000000001
mp-1203274,Ni(CO)4,4.1141000000000005
mp-1203661,KRb2CrF6,4.1515
mp-1204048,B2H26C8N20Cl2O,4.1011999999999995
mp-1208108,Tm4Al2O9,4.1325
mp-1208758,Sr3Li6Ta2O11,4.1061000000000005
mp-1208969,Sm4Al2O9,4.1343000000000005
mp-1209213,RbGa(SO4)2,4.121499999999999
mp-1209227,RbCaBr3,4.1415999999999995
mp-1209467,RbAlBr4,4.0947
mp-1209518,Rb2SmBr5,4.0789
mp-1209610,Rb2LaCl5,4.1585
mp-1210143,Rb2Cd2(MoO4)3,4.1126
mp-1210155,NaAlBr4,4.1505
mp-1210464,Na2Nd2B2O7,4.1561
mp-1210699,Mn2Be3Tl2F12,4.1194
mp-1211746,KCd(PO3)3,4.1295
mp-1212178,InH9(SO6)2,4.1579
mp-1212327,Ho4Al2O9,4.1148
mp-1212993,Dy4Al2O9,4.1428
mp-1213724,Cs2LaCl5,4.1149
mp-1216122,Y4Zr3O12,4.1478
mp-1216736,TlP(HO2)2,4.0987
mp-1218632,Sr4BiP3O13,4.0869
mp-1218677,SrCa3Zr16(PO4)24,4.152100000000001
mp-1220764,NaHfScO4,4.105600000000001
mp-1221038,NaNi2H3(SO5)2,4.125
mp-1221117,NaCaGaSi2O7,4.1404
mp-1221133,NaCa3AlFe3(SiO3)8,4.1547
mp-1221224,Na3BrCl2,4.1498
mp-1221263,Na4Ca7MnSi12(HO9)4,4.113300000000001
mp-1221274,Na4Ca7MnSi12(HO9)4,4.1314
mp-1221674,Na2AsP(H4O5)2,4.0823
